Club Name,When,Day,Week(s),Time,Year Group(s),Location,Staff Initials,Department,URN
Social Badminton,Before School,Monday,1&2,08:00-08:30,All,Gym,KE,PE,1
Lunch Club (Begins 12:45),Lunchtime,Monday,1&2,12:45-13:30,All,A03,LSAs,SEN,2
Art 4 Fun,Lunchtime,Monday,1&2,13:00-13:30,7 8 9,A27,Sixth Formers,Art,3
Band Club,Lunchtime,Monday,1&2,13:00-13:30,All,Auditorium,Sixth Formers,Music,4
Chamber Choir Sectionals,Lunchtime,Monday,1&2,13:00-13:30,10 11 12 13,D13,OM / Section Leaders,Music,5
Computing Club,Lunchtime,Monday,1&2,13:00-13:30,7 8,D14,AK,CS,6
Cricket,Lunchtime,Monday,1&2,13:00-13:30,All,Gym,External Coach,PE,7
Psychology,Lunchtime,Monday,1&2,13:00-13:30,10,B29,Sixth Formers,Social Sciences,8
Wood Workshop,Lunchtime,Monday,1&2,13:00-13:30,7 8 9,B01,MXB,DT,9
Homework Club,After School,Monday,1&2,15:30-16:30,All,A22,LSAs,SEN,10
Netball,After School,Monday,1&2,15:30-16:30,8 9 10 11 12 13,Courts,KE,PE,11
Netball,After School,Monday,1&2,15:30-16:30,7,Courts,External Coach,PE,12
Chamber Choir,After School,Monday,1&2,15:30-16:45,10 11 12 13,D13,OM,Music,13
Dance Rehearsal Space,Before School,Tuesday,1&2,08:00-08:30,All,Gym,HM,PE,14
Lunch Club (Begins 12:45),Lunchtime,Tuesday,1&2,12:45-13:30,All,A03,LSAs,SEN,15
Puzzle Club,Lunchtime,Tuesday,1&2,13:00-13:30,7 8 9,C01,Sixth Formers,Maths,16
Christian Union,Lunchtime,Tuesday,1&2,13:00-13:30,9,Chaplain's Room,HW,Pastoral,17
Christian Union,Lunchtime,Tuesday,1&2,13:00-13:30,10 11,Chapel,Youth Worker,Pastoral,18
Commercial Dance,Lunchtime,Tuesday,1&2,13:00-13:30,All,Gym,Sports Prefect,PE,19
Jewellery Making,Lunchtime,Tuesday,1&2,13:00-13:30,7 8 9,C05,Sixth Formers,Pastoral,20
Music Practice Club,Lunchtime,Tuesday,1&2,13:00-13:30,All,D13,Music Prefects,Music,21
Ukulele Club,Lunchtime,Tuesday,1&2,13:00-13:30,All,Auditorium,Year 11,Music,22
Youth Alpha,After School,Tuesday,1&2,15:30-16:30,9 & 10,D21,HW,Pastoral,23
Football,After School,Tuesday,1&2,15:30-16:30,All,Courts,External Coach,PE,24
Homework Club,After School,Tuesday,1&2,15:30-16:30,All,A22,LSAs,SEN,25
Extended Reading Group,After School,Tuesday,1&2,15:40-16:40,12 & 13,D15,,SSS,26
Strength Club,Before School,Wednesday,1&2,08:00-08:30,10 11 12 13,Gym,EB,PE,27
Lunch Club (Begins 12:45),Lunchtime,Wednesday,1&2,12:45-13:30,All,A03,LSAs,SEN,28
Pride Plus,Lunchtime,Wednesday,1&2,13:00-13:30,6th Formers,B28,,BU,29
Christian Union,Lunchtime,Wednesday,1&2,13:00-13:30,8,Chapel,Youth Worker,Pastoral,30
Dance Rehearsal Space,Lunchtime,Wednesday,1&2,13:00-13:30,All,Gym,HM / EB,PE,31
History Club,Lunchtime,Wednesday,1&2,13:00-13:30,7 8 9,D12,Sixth Formers,History,32
Jazz Band,Lunchtime,Wednesday,1&2,13:00-13:30,All,D13,MC,Music,33
Junior STEM,Lunchtime,Wednesday,1&2,13:00-13:30,7 8 9,A010,Science Dept,Science,34
Politics Club,Lunchtime,Wednesday,1&2,13:00-13:30,10 11 12 13,D15,Academic Prefects,Politics,35
Scrapbooking,Lunchtime,Wednesday,1&2,13:00-13:30,7 8 9,C05,Sixth Formers,Pastoral,36
Sewing Club,Lunchtime,Wednesday,1&2,13:00-13:30,7 8 9,B13,JW,DT,37
String Ensemble,Lunchtime,Wednesday,1&2,13:00-13:30,All,Auditorium,OM,Music,38
English Scholars (invite only),Lunchtime,Wednesday,1&2,13:00-13:30,11,C14,AN,English,39
Contemporary Dance,After School,Wednesday,1&2,15:30-16:30,All,Hall,HM / EB,PE,40
Homework Club,After School,Wednesday,1&2,15:30-16:30,All,A22,LSAs,SEN,41
Model United Nations (Week-1 ONLY),After School,Wednesday,1,15:30-16:30,8 9 10,C01,NB,RS,42
Model United Nations (Week-2 ONLY),After School,Wednesday,2,15:30-16:30,11 12 13,C01,NB,RS,43
Philosophy Club,After School,Wednesday,1&2,15:30-16:30,All,C03,PH / GJ,RS,44
Squad Netball (invite only),After School,Wednesday,1&2,15:30-16:30,8 9 10 11 12 13,Courts,HM / EB,PE,45
Orchestra,After School,Wednesday,1&2,15:30-16:45,All,Auditorium,OM,Music,46
Street Dance,After School,Wednesday,1&2,15:30-17:00,All,Gym,HM,PE,47
Extended Reading Group,After School,Wednesday,1&2,15:40-16:40,12 & 13,D15,,SSS,48
Dance Rehearsal Space,Before School,Thursday,1&2,08:00-08:30,All,Gym,HM,PE,49
Lunch Club (Begins 12:45),Lunchtime,Thursday,1&2,12:45-13:30,All,A03,LSAs,SEN,50
Christian Union,Lunchtime,Thursday,1&2,13:00-13:30,7,Chapel,KM,Pastoral,51
Crafternoons,Lunchtime,Thursday,1&2,13:00-13:30,7 8 9,C05,Sixth Formers,Pastoral,52
Junior Choir,Lunchtime,Thursday,1&2,13:00-13:30,7 8 9,Auditorium,OM,Music,53
Junior Drama Club,Lunchtime,Thursday,1&2,13:00-13:30,7 8 9,D21,Sixth Formers,Drama,54
Just Dance,Lunchtime,Thursday,1&2,13:00-13:30,All,Gym,Sports Prefect,PE,55
Social Sciences,Lunchtime,Thursday,1&2,13:00-13:30,12,B29,Sixth Formers,Social Sciences,56
Basketball,After School,Thursday,1&2,15:30-16:30,All,Gym,MC,PE,57
Homework Club,After School,Thursday,1&2,15:30-16:30,All,A22,LSAs,SEN,58
Lunch Club (Begins 12:45),Lunchtime,Friday,1&2,12:45-13:30,All,A03,LSAs,SEN,59
Charity Club,Lunchtime,Friday,1&2,13:00-13:30,7 8 9,Chaplain's Room,HW,Pastoral,60
Wellness Room,Lunchtime,Friday,1&2,13:00-13:30,7 8 9,C05,Sixth Formers,Pastoral,61
D&T Club,Lunchtime,Friday,1&2,13:00-13:30,7 8 9,B01,Sixth Formers,DT,62

Mathletes,Lunchtime,Friday,1&2,13:00-13:30,7 8 9,B22,KL,Maths,63

